#WordNet_offset	Geonames_ID	lat	lon
08972920	2193733	-36.8666667	174.7666667
09092822	4957003	44.3106241	-69.7794897
09077111	4180531	33.4709702	-81.9748379
02758600	3089658	50.0333333	19.2333333
08758172	3065824	49.1532541205018	16.8764920632038
09143017	4671654	30.267153	-97.7430608
08831004	2077456	-25	135
09211266	2077456	-25	135
08832269	2172517	-35.2834624726481	149.128074645996
08845555	2782113	47.3333333	13.3333333
08846324	2761369	48.2084877601653	16.3720750808716
08940835	3035876	45.3333333	3
08934313	3035681	43.95	4.8166667
09212151	2656744	51.5013163889259	-2.71207809448242
09211944	6640065	52.1672462804389	-1.85651779174805
08881153	2656749	51.4333333	-2.5
08892327	2656708	55.45	-4.6166667
08928083	250090	32.0833333	36.1
09018162	587116	40.5	47.5
08916832	98228	32.5408333	44.4241667
08917503	98228	32.5408333	44.4241667
09157163	5279468	44.5002368	-90.0004077
08914193	98182	33.3386111	44.3938889
08847268	3572887	24	-76
08848421	290372	26	50.55
08848094	290291	26	50.5
09242767	2026982	54	109
08840964	2110257	1.32914064540393	172.978019714355
09062320	5325738	35.3732921	-119.0187125
09018426	587084	40.3952778	49.8822222
09212935	3055597	46.8333333	17.75
09032483	2661604	47.5666667	7.6
08908509	1650534	-8.3333333	115
09213076	792963	43.25	25
08713772	685608	44	23
08698038	685608	44	23
09213254	5892407	46.433397439	-62.165312527
09094381	4347778	39.2903848	-76.6121893
08911726	2118	37.0361111	49.7502778
08965958	2460596	12.65	-8
08909933	6407850	-7.9094444	111.2547222
08822427	5892532	51.1762221285907	-115.569820404053
08903352	1277333	12.9762266976805	77.6032912731171
09036880	1609350	13.75	100.5166667
08848731	1210997	24	90
09092948	4957280	44.8011821	-68.7778138
08895254	2656397	53.2666667	-4.1166667
08888367	2656396	54.653378295775	-5.6689453125
08718801	2389853	4.3666667	18.5833333
08946042	2413876	13.4564084091133	-16.5812873840332
08755436	3374084	13.1666667	-59.5333333
08755214	3374085	13.1666667	-59.55
08503238	2472684	32	4
08710113	3576389	17.6333333	-61.8
09025189	3128760	41.3887868890716	2.15898513793945
08810505	3182351	41.117734	16.851185
08732807	3689147	10.9638889	-74.7963889
09062478	5326296	36.8152237	-119.9698776
09132053	4529987	36.7473114	-95.9808179
08914413	99532	30.4941667	47.8191667
08804487	3182306	40.5	16.5
08988068	3575551	17.3	-62.7166667
02805584	6545267	48.8533079782429	2.372145652771
08958830	932692	-29.5	28.25
08878202	2656173	51.3794444	-2.3655556
08706399	2505572	35.5559710497557	6.17414474487305
09110422	5509151	39.2502081	-116.7511911
01282466	2619218	56	9.25
01283565	259291	38.2	22.5
01287782	5854941	28.23472	-177.375
01288795	255293	36.9134432616112	21.6963887214661
01297706	2510212	36.182777	-6.0341667
08771596	2951840	48.5	11.5
09095023	6254926	42.3656470028119	-71.1083221435547
09113207	5095445	40.6687141	-74.1143091
08957806	276781	33.8719444	35.5097222
08795232	284315	31.7166667	35.2
09095751	4930956	42.3584308	-71.0597732
09143205	4672989	30.0860459	-94.1018461
09133010	5744337	44.0001313	-120.5013876
09155692	4798308	37.7781702	-81.1881557
09147046	5549030	39.2502391	-111.7510337
08724726	1816670	39.9074977414405	116.397228240967
08971404	1052373	-19.8436111	34.8388889
09011151	630336	53	28
08977948	2951270	54.1	10.2666667
08854855	3665035	-9.45	-62.2833333
08888479	2655984	54.5833333	-5.9333333
08850450	2800866	50.8465974826927	4.35277462005615
08734385	2260494	-1	15
08849753	2802361	50.8333333	4
08817418	792680	44.8186111	20.4680556
08737521	3582678	17.25	-88.75
09153710	5786899	48.7595529	-122.4882249
02827466	2951159	48.3948465779064	9.03870105743408
09102415	5017822	47.4735633	-94.8802767
09133364	5713587	44.0581728	-121.3153096
08710535	1252881	24	88
08960363	88319	32.1166667	20.0666667
08759420	2395170	9.5	2.25
09148422	5233742	42.8781345	-73.1967741
08765315	2802207	50.9	5.083333
09062585	5327684	37.8715926	-122.272747
08881256	2655856	51.5	-1.25
08769645	2950159	52.5166667	13.4
08710678	3573345	32.3333333	-64.75
09032321	2661552	46.9480943365053	7.44744300842285
09135246	5180225	40.6259316	-75.3704579
08900535	1269750	20	77
